,model,optimizer,specif,train_time,learning_rate,regularization,lbd,iterations,train_accuracy,test_accuracy,train_size,dataset
0,toy_nn,gd,12xrelu;4xrelu;1xsigmoid;,23.8180812,0.01,L2,0.7,1000,99.04306220095694,78.0,209,cats
0,toy_nn,gd,12xrelu;4xrelu;1xsigmoid;,56.862862199999995,0.01,L2,0.7,2500,100.0,52.0,209,cats
0,toy_nn,gd,12xrelu;8xrelu;4xrelu;1xsigmoid;,58.7097479,0.01,L2,0.7,2500,100.0,86.0,209,cats
0,toy_nn,gd,20xrelu;7xrelu;5xrelu;1xsigmoid;,60.543467899999996,0.01,,0.7,2500,100.0,76.0,209,cats
0,toy_nn,gd,20xrelu;7xrelu;5xrelu;1xsigmoid;,66.2928919,0.01,,0.7,2500,100.0,74.0,209,cats
0,toy_nn,gd,20xrelu;7xrelu;5xrelu;1xsigmoid;,74.2851323,0.01,L2,0.7,2500,100.0,68.0,209,cats
0,toy_nn,gd,20xrelu;7xrelu;5xrelu;1xsigmoid;,74.2683443,0.01,L2,0.8,2500,100.0,62.0,209,cats
0,toy_nn,gd,20xrelu;7xrelu;5xrelu;1xsigmoid;,77.2313644,0.01,L2,0.1,2500,100.0,70.0,209,cats
0,toy_nn,gd,20xrelu;7xrelu;5xrelu;1xsigmoid;,77.6777281,0.01,L2,0.01,2500,100.0,62.0,209,cats
0,toy_nn,gd,20xrelu;7xrelu;5xrelu;1xsigmoid;,76.9123218,0.01,L2,0.01,2500,100.0,66.0,209,cats
0,toy_nn,gd,20xrelu;7xrelu;5xrelu;1xsigmoid;,81.5272258,0.01,L2,0.05,2500,100.0,64.0,209,cats
0,toy_nn,gd,20xrelu;7xrelu;5xrelu;1xsigmoid;,78.8190669,0.01,L2,0.08,2500,100.0,76.0,209,cats
0,toy_nn,gd,20xrelu;7xrelu;5xrelu;1xsigmoid;,75.2206972,0.01,L2,0.08,2500,100.0,70.0,209,cats
0,toy_nn,gd,20xrelu;7xrelu;5xrelu;1xsigmoid;,72.2044935,0.01,L2,0.08,2500,96.17224880382776,64.0,209,cats
0,toy_nn,gd,20xrelu;7xrelu;5xrelu;1xsigmoid;,81.1996704,0.01,L2,0.08,2500,100.0,76.0,209,cats
